ID_log,Tipo_actividad,Usuario,Fecha_hora,Detalles
1,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Isabelita Warton"
2,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Basia Keilty"
3,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Miquela Dupre"
4,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Maureene Bickerdicke"
5,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Niko Haacker"
6,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Garrik Becket"
7,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Dougy Shine"
8,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Marcela Bowcock"
9,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Daron Caulket"
10,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Juliette Cockings"
11,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Cart Angliss"
12,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Lesley Cradey"
13,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Zorine Denington"
14,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Taite Cheeke"
15,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Rosalyn Karys"
16,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Ivy Manuele"
17,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Sergei Pybworth"
18,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Dione Ailmer"
19,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Euphemia Sallows"
20,INSERT,root@localhost,"2025-07-14 18:54:27","Cliente agregado: Kirstyn Pithcock"
21,INSERT,root@localhost,"2025-07-14 19:04:13","Pedido agregado: ID 72 para Cliente 16, Estado: Pendiente"
22,INSERT,root@localhost,"2025-07-14 19:04:13","Pedido agregado: ID 73 para Cliente 17, Estado: Entregado"
23,INSERT,root@localhost,"2025-07-14 19:04:13","Pedido agregado: ID 74 para Cliente 18, Estado: Enviado"
24,INSERT,root@localhost,"2025-07-14 19:04:13","Pedido agregado: ID 75 para Cliente 19, Estado: Pendiente"
25,INSERT,root@localhost,"2025-07-14 19:04:13","Pedido agregado: ID 76 para Cliente 20, Estado: Cancelado"
26,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Bolso Ejecutivo, Precio: 120"
27,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Mochila Antirrobo, Precio: 98"
28,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Collar de Perlas, Precio: 150"
29,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Gafas de Sol Vintage, Precio: 110"
30,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Bolso de Lona, Precio: 70"
31,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Pulsera de Cuero, Precio: 45"
32,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Cartera Formal, Precio: 95"
33,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Bolso de Viaje, Precio: 135"
34,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Mochila Compacta, Precio: 78"
35,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Bolso Shopper, Precio: 110"
36,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Anillo de Plata, Precio: 85"
37,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Gafas con Filtro Azul, Precio: 90"
38,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Bolso Clutch, Precio: 105"
39,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Pulsera de Cuentas, Precio: 55"
40,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Cartera Urbana, Precio: 88"
41,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Bolso Impermeable, Precio: 115"
42,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Mochila con USB, Precio: 102"
43,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Anillo Minimalista, Precio: 65"
44,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Gafas Redondas, Precio: 92"
45,INSERT,root@localhost,"2025-07-14 19:16:46","Producto agregado: Bolso Deportivo, Precio: 85"
46,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 1, Nombre: Isabelita → Isabelita, Apellido: Warton → Warton, Correo: iwarton0@hubpages.com → nuevo1@correo.com"
47,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 2, Nombre: Basia → Basia, Apellido: Keilty → Keilty, Correo: bkeilty1@imageshack.us → bkeilty1@imageshack.us"
48,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 3, Nombre: Miquela → Miquela, Apellido: Dupre → Dupre, Correo: mdupre2@aol.com → mdupre2@aol.com"
49,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 4, Nombre: Maureene → Ana, Apellido: Bickerdicke → Bickerdicke, Correo: mbickerdicke3@xrea.com → mbickerdicke3@xrea.com"
50,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 5, Nombre: Niko → Niko, Apellido: Haacker → Pérez, Correo: nhaacker4@delicious.com → nhaacker4@delicious.com"
51,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 6, Nombre: Garrik → Garrik, Apellido: Becket → Becket, Correo: gbecket5@google.fr → gbecket5@google.fr"
52,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 7, Nombre: Dougy → Dougy, Apellido: Shine → Shine, Correo: dshine6@hp.com → nuevo6@correo.com"
53,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 8, Nombre: Marcela → Marcela, Apellido: Bowcock → Bowcock, Correo: mbowcock7@dell.com → mbowcock7@dell.com"
54,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 9, Nombre: Daron → Carlos, Apellido: Caulket → Ramírez, Correo: dcaulket8@sourceforge.net → dcaulket8@sourceforge.net"
55,UPDATE,root@localhost,"2025-07-14 19:35:29","Cliente actualizado: ID 10, Nombre: Juliette → Juliette, Apellido: Cockings → Cockings, Correo: jcockings9@gov.uk → jcockings9@gov.uk"
56,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 57, Estado: Pendiente → Entregado, Método_pago: Tarjeta de crédito → Tarjeta de crédito, Total: 85 → 85"
57,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 58, Estado: Enviado → Enviado, Método_pago: PayPal → Efectivo, Total: 37 → 37"
58,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 59, Estado: Entregado → Entregado, Método_pago: Efectivo → Efectivo, Total: 152 → 95"
59,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 60, Estado: Pendiente → Cancelado, Método_pago: Transferencia → Transferencia, Total: 60 → 60"
60,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 61, Estado: Enviado → Enviado, Método_pago: Tarjeta de débito → Tarjeta de débito, Total: 96 → 96"
61,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 62, Estado: Entregado → Entregado, Método_pago: Efectivo → Efectivo, Total: 120 → 120"
62,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 63, Estado: Cancelado → Cancelado, Método_pago: PayPal → PayPal, Total: 480 → 180"
63,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 64, Estado: Pendiente → Pendiente, Método_pago: Transferencia → Transferencia, Total: 116 → 116"
64,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 65, Estado: Enviado → Enviado, Método_pago: Tarjeta de crédito → Tarjeta de crédito, Total: 70 → 105"
65,UPDATE,root@localhost,"2025-07-14 19:44:39","Pedido actualizado: ID 66, Estado: Entregado → Entregado, Método_pago: Efectivo → Efectivo, Total: 80 → 80"
66,UPDATE,root@localhost,"2025-07-14 19:46:30","Producto actualizado: Bolso Ejecutivo → Bolso Ejecutivo"
67,UPDATE,root@localhost,"2025-07-14 19:46:30","Producto actualizado: Mochila Compacta → Mochila Compacta"
68,UPDATE,root@localhost,"2025-07-14 19:46:30","Producto actualizado: Pulsera de Cuero → Collar de Oro"
69,UPDATE,root@localhost,"2025-07-14 19:46:30","Producto actualizado: Pulsera de Cuentas → Pulsera de Cuentas"
70,UPDATE,root@localhost,"2025-07-14 19:46:30","Producto actualizado: Anillo Minimalista → Anillo Minimalista"
71,UPDATE,root@localhost,"2025-07-14 19:46:30","Producto actualizado: Mochila Antirrobo → Mochila Antirrobo"
72,UPDATE,root@localhost,"2025-07-14 19:46:30","Producto actualizado: Collar de Perlas → Collar de Perlas"
73,UPDATE,root@localhost,"2025-07-14 19:46:30","Producto actualizado: Bolso Deportivo → Mochila Antirrobo"
74,UPDATE,root@localhost,"2025-07-14 19:46:30","Producto actualizado: Mochila con USB → Mochila con USB"
75,DELETE,root@localhost,"2025-07-14 20:57:52","Producto eliminado: Bolso Ejecutivo"
76,DELETE,root@localhost,"2025-07-14 20:57:52","Producto eliminado: Bolso de Viaje"
77,DELETE,root@localhost,"2025-07-14 20:57:52","Producto eliminado: Bolso Shopper"
78,DELETE,root@localhost,"2025-07-14 20:57:52","Producto eliminado: Anillo Minimalista"
79,DELETE,root@localhost,"2025-07-14 20:57:52","Producto eliminado: Mochila Antirrobo"
80,DELETE,root@localhost,"2025-07-14 20:58:59","Pedido eliminado: ID 57, Cliente: 1, Estado: Entregado"
81,DELETE,root@localhost,"2025-07-14 20:58:59","Pedido eliminado: ID 58, Cliente: 2, Estado: Enviado"
82,DELETE,root@localhost,"2025-07-14 20:58:59","Pedido eliminado: ID 65, Cliente: 9, Estado: Enviado"
83,DELETE,root@localhost,"2025-07-14 20:58:59","Pedido eliminado: ID 66, Cliente: 10, Estado: Entregado"
84,DELETE,root@localhost,"2025-07-14 20:58:59","Pedido eliminado: ID 76, Cliente: 20, Estado: Cancelado"
85,DELETE,root@localhost,"2025-07-14 21:00:33","Detalle eliminado: ID 11, Pedido: 67, Producto: 38"
86,DELETE,root@localhost,"2025-07-14 21:00:33","Detalle eliminado: ID 12, Pedido: 68, Producto: 39"
87,DELETE,root@localhost,"2025-07-14 21:00:33","Detalle eliminado: ID 13, Pedido: 69, Producto: 40"
88,DELETE,root@localhost,"2025-07-14 21:00:33","Detalle eliminado: ID 14, Pedido: 70, Producto: 41"
89,DELETE,root@localhost,"2025-07-14 21:00:33","Detalle eliminado: ID 15, Pedido: 71, Producto: 42"
90,DELETE,root@localhost,"2025-07-14 21:01:18","Cliente eliminado: ID 1, Nombre: Isabelita Warton"
91,DELETE,root@localhost,"2025-07-14 21:01:18","Cliente eliminado: ID 2, Nombre: Basia Keilty"
92,DELETE,root@localhost,"2025-07-14 21:01:18","Cliente eliminado: ID 3, Nombre: Miquela Dupre"
